Case,Vehicle,Order Type,Type,Zones,Severity,Stage,Confidence
831699,Mercedes E-Klasse · QQL-T 140,Parkschaden,damage,"BUMPER_FRONT_RIGHT, MIRROR_RIGHT",schwer,laufend,93%
832679,Mercedes Vito · QQS-N 46,Räder und Reifen,service,—,,laufend,95%
840658,Mercedes GLC · QQK-TV 6738,Räder und Reifen,service,—,,abgeschlossen,90%
865838,Audi A4 Avant · ZQB-KP 6667,Parkschaden,damage,"SILL_RIGHT, FENDER_FRONT_LEFT",leicht,laufend,88%
848413,Mercedes Sprinter · QQ-M 597,Auffahrunfall,damage,BUMPER_REAR_FULL,mittel,laufend,95%
888321,Audi Q5 · XQB-H 33,Inspektion,service,—,,abgeschlossen,95%
831149,Audi A6 Avant · QQF-ZF 333,Rangierschaden,damage,"MIRROR_LEFT, SILL_LEFT",schwer,abgeschlossen,92%
852844,BMW 1er · XQE-PJ 1584,Hagelschaden,damage,"TAILGATE, HOOD",schwer,abgeschlossen,95%
896932,Opel Astra Sports Tourer · QQB-XR 7757,Bremsen,service,—,,laufend,90%
878729,Mercedes A-Klasse · XQ-WA 1149,Hagelschaden,damage,"HOOD, TAILGATE",schwer,laufend,70%
877890,Seat Arona · ZQL-BF 2756,Parkschaden,damage,MIRROR_RIGHT,mittel,laufend,95%
866536,Audi Q5 · QZ-L 3870,Bremsen,service,—,,fertig,90%
895937,BMW X1 · ZQR-M 5203,Wildunfall,damage,"HOOD, BUMPER_FRONT_RIGHT",mittel,abgeschlossen,90%
857281,VW Passat Variant · XQS-UY 423,Inspektion,service,—,,fertig,90%
862159,Skoda Fabia · QQK-FP 536,Parkschaden,damage,"FENDER_FRONT_LEFT, DOOR_FRONT_RIGHT",schwer,abgeschlossen,90%
871270,Audi A6 Avant · XQA-J 4,Steinschlag,damage,WINDSHIELD,schwer,neu,90%
837418,Skoda Superb Combi · QQZ-UL 6721,Inspektion,service,—,,neu,95%
883252,Mercedes Sprinter · XQE-YB 6634,Vandalismus,damage,"DOOR_REAR_LEFT, FENDER_FRONT_RIGHT, SILL_RIGHT",mittel,abgeschlossen,95%
835566,Ford Puma · QQS-MV 79,Parkschaden,damage,DOOR_REAR_LEFT,mittel,laufend,95%
843740,Skoda Kodiaq · QY-X 672,Steinschlag,damage,WINDSHIELD,leicht,neu,80%
826351,BMW 5er Limousine · ZQC-H 962,Wildunfall,damage,BUMPER_FRONT_LEFT,leicht,neu,90%
864893,Opel Corsa · ZQ-CP 429,Inspektion,service,—,,laufend,95%
892250,BMW X3 · QQZ-H 6061,Inspektion,service,—,,laufend,90%
873586,BMW X1 · ZQD-V 36,Ölwechsel,service,—,,laufend,80%
863915,Ford Puma · QZ-W 435,Ölwechsel,service,—,,abgeschlossen,90%
872010,Audi A4 Avant · ZQR-FF 800,Inspektion,service,—,,laufend,90%
820498,Seat Ateca · ZQR-XL 2069,Steinschlag,damage,WINDSHIELD,leicht,neu,95%
863160,BMW 5er Limousine · XQM-DW 16,Räder und Reifen,service,—,,neu,95%
858274,VW T-Roc · QQF-RR 4870,HU/AU,service,—,,abgeschlossen,95%
831881,VW Tiguan · QQR-SE 9604,Rangierschaden,damage,"FENDER_FRONT_RIGHT, DOOR_REAR_LEFT",leicht,fertig,95%
849859,Skoda Scala · QQS-DY 65,Parkschaden,damage,"BUMPER_REAR_LEFT, DOOR_REAR_RIGHT",leicht,abgeschlossen,92%
834495,Mercedes GLC · QQR-LJ 516,Inspektion,service,—,,abgeschlossen,90%
859122,Mercedes Sprinter · ZQC-GZ 146,Bremsen,service,—,,laufend,90%
852068,VW Golf · QQR-K 2,Hagelschaden,damage,"ROOF, TAILGATE, HOOD",schwer,abgeschlossen,93%
875222,Seat Leon · ZQR-UB 2529,Auffahrunfall,damage,"BUMPER_FRONT_RIGHT, BUMPER_REAR_RIGHT",schwer,neu,93%
862379,Opel Astra Sports Tourer · QX-RS 60,Steinschlag,damage,WINDSHIELD,,abgeschlossen,95%
885549,Mercedes Vito · ZQ-AK 880,Steinschlag,damage,WINDSHIELD,mittel,fertig,95%
835203,Skoda Scala · QZ-C 654,Ölwechsel,service,—,,abgeschlossen,90%
823239,BMW 1er · ZQR-HX 4522,HU/AU,service,—,,laufend,90%
895621,Audi A1 Sportback · ZQC-RC 772,Ölwechsel,service,—,,abgeschlossen,90%
846074,BMW X1 · ZQB-W 63,Steinschlag,damage,WINDSHIELD,schwer,neu,95%
857653,BMW X1 · XQE-KF 80,Vandalismus,damage,DOOR_FRONT_LEFT,mittel,laufend,95%
857915,Opel Vivaro · QQD-T 55,Auffahrunfall,damage,"FENDER_FRONT_LEFT, TAILGATE, FENDER_REAR_RIGHT",mittel,laufend,50%
883763,Ford Focus Turnier · QQB-T 88,Ölwechsel,service,—,,fertig,95%
896311,Opel Vivaro · QQH-A 54,Vandalismus,damage,SILL_LEFT,leicht,abgeschlossen,90%
832361,BMW 1er · ZQB-D 19,Parkschaden,damage,BUMPER_REAR_LEFT,schwer,abgeschlossen,95%
892447,VW Passat Variant · QQB-HB 29,Rangierschaden,damage,BUMPER_REAR_FULL,schwer,abgeschlossen,95%
895608,Seat Leon · ZQM-RF 94,Rangierschaden,damage,MIRROR_LEFT,leicht,abgeschlossen,92%
845852,BMW 5er Limousine · ZQM-TF 690,Steinschlag,damage,WINDSHIELD,leicht,laufend,95%
864854,Mercedes A-Klasse · XQC-A 7298,Rangierschaden,damage,HOOD,leicht,laufend,90%
822452,BMW 1er · QZ-GB 227,Bremsen,service,—,,neu,95%
840363,Audi A6 Avant · QQT-T 2137,Vandalismus,damage,"BUMPER_REAR_LEFT, MIRROR_LEFT, DOOR_FRONT_RIGHT",mittel,abgeschlossen,93%
821583,Seat Ateca · QQZ-E 701,HU/AU,service,—,,neu,95%
877468,Ford Focus Turnier · ZQB-D 76,Ölwechsel,service,—,,abgeschlossen,85%
856238,BMW 5er Limousine · QQT-F 499,Steinschlag,damage,WINDSHIELD,leicht,laufend,95%
886432,BMW 5er Limousine · XQD-K 6927,HU/AU,service,—,,neu,90%
833075,VW Caddy · XQL-V 68,Rangierschaden,damage,"TAILGATE, BUMPER_REAR_RIGHT",mittel,fertig,90%
839757,Audi Q3 · QY-ZW 65,Rangierschaden,damage,"FENDER_REAR_LEFT, DOOR_FRONT_LEFT",mittel,storniert,92%
846585,Opel Grandland · ZQS-T 39,Räder und Reifen,service,—,,fertig,90%
822950,Audi A4 Avant · ZQR-J 552,Auffahrunfall,damage,BUMPER_FRONT_FULL,leicht,abgeschlossen,90%
892053,Seat Arona · QQN-HM 98,Inspektion,service,—,,laufend,90%
856050,Skoda Karoq · QQN-V 739,Hagelschaden,damage,"TAILGATE, ROOF, HOOD",schwer,abgeschlossen,95%
888452,Audi Q3 · XQB-H 51,Vandalismus,damage,"DOOR_REAR_LEFT, FENDER_REAR_RIGHT",schwer,fertig,90%
830651,Audi Q2 · XQC-KK 4408,Inspektion,service,—,,storniert,90%
868713,Ford Puma · ZQM-X 151,Räder und Reifen,service,—,,laufend,95%
896170,Audi Q3 · ZQD-SH 462,Inspektion,service,—,,abgeschlossen,95%
899757,Mercedes C-Klasse T-Modell · ZQD-ND 42,Hagelschaden,damage,"ROOF, HOOD, TAILGATE",schwer,neu,85%
891054,Opel Grandland · XQR-J 23,Steinschlag,damage,WINDSHIELD,schwer,neu,95%
823609,VW Golf · XQM-SS 236,Rangierschaden,damage,"SILL_LEFT, TAILGATE",mittel,abgeschlossen,50%
836898,BMW X1 · ZQS-TL 5306,Wildunfall,damage,BUMPER_FRONT_LEFT,mittel,abgeschlossen,95%
884239,Audi A4 Avant · QQF-ZY 6641,Steinschlag,damage,WINDSHIELD,mittel,laufend,90%
848603,Seat Ateca · XQE-DL 838,HU/AU,service,—,,storniert,95%
826392,Mercedes Vito · QQM-ZP 56,Räder und Reifen,service,—,,neu,95%
878238,Mercedes A-Klasse · XQC-KN 3938,Steinschlag,damage,WINDSHIELD,leicht,fertig,95%
881791,Mercedes GLC · XQB-F 39,Räder und Reifen,service,—,,abgeschlossen,95%
856351,Audi A4 Avant · QQN-YE 63,Steinschlag,damage,WINDSHIELD,,neu,95%
844980,VW Caddy · QY-XX 8,Wildunfall,damage,"BUMPER_FRONT_RIGHT, BUMPER_FRONT_FULL, FENDER_FRONT_LEFT",schwer,abgeschlossen,92%
829369,Skoda Karoq · QQH-X 1595,Rangierschaden,damage,"BUMPER_REAR_FULL, FENDER_FRONT_LEFT",mittel,neu,92%
880510,Ford Focus Turnier · QQB-ZH 5294,HU/AU,service,—,,abgeschlossen,90%
840404,VW Touran · QQ-S 71,Parkschaden,damage,SILL_LEFT,mittel,laufend,95%
863853,Mercedes Vito · XQC-L 258,Steinschlag,damage,WINDSHIELD,mittel,abgeschlossen,95%
851522,Mercedes E-Klasse · XQS-YC 2211,Inspektion,service,—,,storniert,90%
858877,Audi Q2 · QX-SF 199,HU/AU,service,—,,fertig,95%
862370,Mercedes Vito · QQC-HA 2019,Bremsen,service,—,,abgeschlossen,90%
854033,VW Caddy · XQR-Z 419,Inspektion,service,—,,neu,95%
884745,Ford Fiesta · XQE-KF 367,Räder und Reifen,service,—,,laufend,85%
862790,Skoda Karoq · QQR-EN 888,Parkschaden,damage,TAILGATE,leicht,fertig,92%
859902,Ford Puma · QQF-Z 5038,HU/AU,service,—,,fertig,90%
862457,Mercedes A-Klasse · XQ-NR 37,Parkschaden,damage,"BUMPER_REAR_FULL, DOOR_REAR_LEFT",mittel,laufend,92%
837265,Skoda Karoq · ZQR-L 634,Vandalismus,damage,"BUMPER_REAR_RIGHT, DOOR_REAR_LEFT, FENDER_REAR_RIGHT",mittel,laufend,92%
865767,BMW 5er Limousine · QQK-T 50,HU/AU,service,—,,fertig,90%
841460,Skoda Kodiaq · XQC-ZY 8164,Inspektion,service,—,,fertig,95%
890230,BMW 3er Touring · QY-F 250,Ölwechsel,service,—,,laufend,85%
867137,BMW 2er Active Tourer · QQN-B 21,Vandalismus,damage,BUMPER_FRONT_LEFT,mittel,neu,95%
865981,Skoda Octavia Combi · ZQA-UX 39,Inspektion,service,—,,abgeschlossen,95%
899492,Mercedes GLC · QQA-CN 2866,Bremsen,service,—,,laufend,95%
899831,Mercedes A-Klasse · QQF-JK 9502,Steinschlag,damage,WINDSHIELD,leicht,abgeschlossen,95%
891780,Ford Puma · QQD-B 677,Steinschlag,damage,WINDSHIELD,schwer,laufend,95%
825030,Skoda Superb Combi · QQD-KV 8647,Ölwechsel,service,—,,neu,95%
879066,Mercedes A-Klasse · ZQ-LB 849,Inspektion,service,—,,neu,90%
881795,BMW 1er · QQF-EB 37,Inspektion,service,—,,abgeschlossen,95%
875695,VW Passat Variant · XQD-K 704,Parkschaden,damage,FENDER_FRONT_LEFT,schwer,fertig,90%
866323,BMW 3er Touring · QX-FE 38,HU/AU,service,—,,laufend,90%
859189,Mercedes A-Klasse · ZQA-Z 4,Inspektion,service,—,,fertig,90%
862181,Mercedes E-Klasse · QX-B 86,Inspektion,service,—,,laufend,90%
838641,BMW 5er Limousine · XQE-T 975,Inspektion,service,—,,abgeschlossen,95%
856108,Seat Ibiza · QY-K 890,Vandalismus,damage,"FENDER_FRONT_RIGHT, SILL_RIGHT, HOOD",leicht,abgeschlossen,93%
858786,Ford Puma · XQM-TU 7929,Räder und Reifen,service,—,,fertig,95%
865248,Audi Q5 · XQD-Z 30,Bremsen,service,—,,laufend,90%
865155,Audi A1 Sportback · XQR-LY 4089,Bremsen,service,—,,abgeschlossen,90%
850870,Skoda Octavia Combi · ZQM-U 5327,Parkschaden,damage,"BUMPER_REAR_FULL, DOOR_REAR_LEFT",mittel,neu,95%
859320,VW T6.1 Transporter · QQK-AS 248,Wildunfall,damage,BUMPER_FRONT_LEFT,schwer,abgeschlossen,95%
865386,Seat Ibiza · QQB-M 7,Rangierschaden,damage,FENDER_FRONT_RIGHT,schwer,storniert,90%
873679,Opel Astra Sports Tourer · QQV-MV 460,Ölwechsel,service,—,,laufend,95%
879984,Ford Fiesta · QQK-NW 296,Auffahrunfall,damage,"FENDER_FRONT_RIGHT, FENDER_FRONT_LEFT, FENDER_REAR_RIGHT",mittel,abgeschlossen,50%
823954,Audi A4 Avant · XQA-E 9477,Parkschaden,damage,"FENDER_FRONT_LEFT, SILL_RIGHT",mittel,storniert,90%
829887,Opel Grandland · QQD-NW 56,Steinschlag,damage,WINDSHIELD,schwer,storniert,95%
890375,Audi A1 Sportback · XQB-GR 62,Ölwechsel,service,—,,laufend,85%
830679,Mercedes A-Klasse · QQS-U 50,Inspektion,service,—,,laufend,95%
831294,Audi Q5 · QQW-B 9205,Rangierschaden,damage,FENDER_FRONT_LEFT,leicht,fertig,95%
871432,Mercedes GLC · QQV-PJ 520,Inspektion,service,—,,laufend,90%
860080,Seat Arona · XQL-UC 76,Vandalismus,damage,"FENDER_FRONT_RIGHT, FENDER_REAR_RIGHT, FENDER_FRONT_LEFT",leicht,storniert,95%
895796,Seat Ateca · ZQR-NW 14,Vandalismus,damage,DOOR_REAR_LEFT,leicht,laufend,90%
851110,Audi A4 Avant · QQN-LT 82,Inspektion,service,—,,abgeschlossen,95%
846550,VW Passat Variant · QZ-D 45,Auffahrunfall,damage,BUMPER_FRONT_RIGHT,schwer,abgeschlossen,95%
835597,Skoda Fabia · ZQB-S 54,Wildunfall,damage,"FENDER_FRONT_RIGHT, BUMPER_FRONT_RIGHT, HOOD",leicht,laufend,70%
839335,Ford Focus Turnier · QQM-RX 422,Bremsen,service,—,,neu,90%
829992,Opel Mokka · QQA-T 931,Räder und Reifen,service,—,,abgeschlossen,90%
857329,Seat Ibiza · QQE-X 28,Inspektion,service,—,,abgeschlossen,100%
846640,Opel Mokka · QQ-P 57,Ölwechsel,service,—,,neu,92%
857227,Opel Corsa · QQV-PL 62,Vandalismus,damage,"SILL_LEFT, DOOR_REAR_RIGHT",mittel,abgeschlossen,80%
888443,Mercedes Sprinter · XQE-LW 818,Ölwechsel,service,—,,laufend,90%
840295,VW Touran · QQT-K 295,Inspektion,service,—,,laufend,95%
888785,VW Touran · QQZ-V 1640,Hagelschaden,damage,"ROOF, TAILGATE, HOOD",schwer,laufend,70%
893019,Mercedes C-Klasse T-Modell · QQS-C 3,HU/AU,service,—,,neu,95%
898621,Opel Mokka · QQT-UR 88,Ölwechsel,service,—,,laufend,95%
887985,Ford Puma · ZQA-G 546,Räder und Reifen,service,—,,laufend,95%
867862,Ford Focus Turnier · XQR-E 980,Inspektion,service,—,,storniert,90%
845879,Ford Kuga · QQB-V 70,Auffahrunfall,damage,BUMPER_FRONT_FULL,leicht,neu,90%
832750,Mercedes B-Klasse · XQ-VB 9044,Inspektion,service,—,,neu,95%
879425,Audi Q2 · QQL-C 94,Inspektion,service,—,,laufend,95%
864585,VW Polo · QQN-R 84,Inspektion,service,—,,fertig,95%
830087,VW Golf · QQD-VL 71,Hagelschaden,damage,"TAILGATE, ROOF",,abgeschlossen,95%
890816,BMW 1er · QQD-FA 32,Räder und Reifen,service,—,,laufend,90%
834979,Seat Ibiza · QQ-GE 17,Steinschlag,damage,WINDSHIELD,leicht,fertig,95%
862507,BMW 2er Active Tourer · ZQD-W 2379,Rangierschaden,damage,"BUMPER_FRONT_RIGHT, FENDER_REAR_RIGHT",leicht,storniert,90%
876868,Ford Fiesta · XQL-ZV 46,Vandalismus,damage,"FENDER_REAR_RIGHT, DOOR_FRONT_LEFT, DOOR_FRONT_RIGHT",schwer,laufend,50%
828851,Audi A3 Sportback · ZQA-LB 7646,Bremsen,service,—,,laufend,90%
881143,VW Golf · XQL-XC 819,Rangierschaden,damage,DOOR_FRONT_LEFT,mittel,abgeschlossen,90%
826049,Skoda Fabia · QQK-A 628,Inspektion,service,—,,fertig,90%
846736,Seat Ateca · XQM-W 54,Bremsen,service,—,,fertig,95%
840889,Seat Ateca · ZQ-VD 284,Räder und Reifen,service,—,,laufend,90%
879768,VW Golf Variant · ZQD-L 15,Inspektion,service,—,,storniert,100%
820223,Mercedes Sprinter · QQC-WK 807,Auffahrunfall,damage,"FENDER_REAR_LEFT, FENDER_REAR_RIGHT",leicht,laufend,90%
892510,Seat Leon · QQV-KG 7567,Parkschaden,damage,"BUMPER_FRONT_FULL, DOOR_FRONT_LEFT",schwer,fertig,88%
855798,VW Tiguan · QQ-U 11,Ölwechsel,service,—,,neu,95%
878224,BMW 3er Touring · QX-MD 41,Rangierschaden,damage,"BUMPER_REAR_FULL, BUMPER_FRONT_FULL",leicht,abgeschlossen,92%
838392,BMW 3er Touring · XQE-GB 659,HU/AU,service,—,,laufend,95%
840172,Skoda Scala · ZQS-A 14,Parkschaden,damage,"FENDER_REAR_RIGHT, BUMPER_REAR_FULL",leicht,laufend,70%
826591,Audi A1 Sportback · QQT-CV 532,Parkschaden,damage,BUMPER_FRONT_RIGHT,mittel,laufend,95%
866680,BMW X1 · QQV-B 95,Parkschaden,damage,"BUMPER_FRONT_RIGHT, DOOR_FRONT_RIGHT",mittel,abgeschlossen,90%
895806,Audi A1 Sportback · XQR-S 15,Räder und Reifen,service,—,,laufend,85%
892891,Mercedes B-Klasse · QQD-UZ 2407,Parkschaden,damage,"FENDER_REAR_RIGHT, HOOD",schwer,laufend,95%
899834,Mercedes Sprinter · ZQC-B 37,Bremsen,service,—,,fertig,85%
882011,Ford Focus Turnier · QQV-R 432,Rangierschaden,damage,"FENDER_FRONT_LEFT, MIRROR_RIGHT",mittel,laufend,92%
899100,Audi Q3 · XQD-EN 49,Wildunfall,damage,BUMPER_FRONT_FULL,schwer,fertig,90%
853084,Seat Arona · QQV-SH 2066,Ölwechsel,service,—,,fertig,90%
867012,Seat Arona · XQS-Y 7666,Steinschlag,damage,WINDSHIELD,leicht,fertig,90%
890681,Skoda Karoq · QQT-V 12,Räder und Reifen,service,—,,laufend,90%
864671,Skoda Karoq · XQR-AG 6832,Inspektion,service,—,,fertig,95%
845837,Mercedes Vito · QX-CT 313,Rangierschaden,damage,HOOD,leicht,neu,90%
847913,Seat Ibiza · QQ-FD 9214,Auffahrunfall,damage,"FENDER_REAR_RIGHT, BUMPER_REAR_RIGHT",leicht,laufend,95%
887746,Ford Transit Custom · QQZ-F 147,Auffahrunfall,damage,"FENDER_FRONT_RIGHT, BUMPER_FRONT_LEFT, FENDER_REAR_RIGHT",mittel,abgeschlossen,90%
878673,Audi A6 Avant · XQE-P 4128,Räder und Reifen,service,—,,storniert,95%
836682,Audi A4 Avant · ZQS-BE 457,Wildunfall,damage,"HOOD, FENDER_FRONT_LEFT",schwer,laufend,92%
880357,BMW X1 · XQS-LU 60,Hagelschaden,damage,"ROOF, HOOD, TAILGATE",schwer,abgeschlossen,92%
829648,Mercedes Vito · QQW-E 308,Inspektion,service,—,,neu,86%
857084,Mercedes B-Klasse · QQD-M 7264,HU/AU,service,—,,laufend,95%
880937,Skoda Scala · ZQA-T 48,Ölwechsel,service,—,,neu,95%
876181,Mercedes C-Klasse T-Modell · XQR-M 20,Ölwechsel,service,—,,laufend,90%
893570,Skoda Scala · QQV-PT 5137,Ölwechsel,service,—,,fertig,90%
890078,Ford Fiesta · QQS-RM 9376,Hagelschaden,damage,"TAILGATE, HOOD, ROOF",schwer,laufend,94%
852197,Skoda Superb Combi · ZQD-CN 804,Ölwechsel,service,—,,laufend,95%
821794,Mercedes GLC · ZQ-KG 378,Hagelschaden,damage,"TAILGATE, ROOF, HOOD",schwer,abgeschlossen,50%
855406,Skoda Kodiaq · XQB-UB 593,Parkschaden,damage,TAILGATE,leicht,neu,90%
828990,Audi A1 Sportback · ZQA-SH 94,Bremsen,service,—,,fertig,85%
883882,VW Touran · QZ-M 940,Parkschaden,damage,BUMPER_REAR_RIGHT,leicht,fertig,90%
822129,Skoda Scala · QQB-VK 75,HU/AU,service,—,,laufend,95%
847385,VW Caddy · QQC-LH 547,Ölwechsel,service,—,,abgeschlossen,95%
837421,Opel Corsa · XQM-S 963,Inspektion,service,—,,laufend,95%
859975,Mercedes GLC · QQM-V 679,Parkschaden,damage,"BUMPER_REAR_LEFT, SILL_LEFT",mittel,fertig,95%
843481,Skoda Scala · XQE-J 4181,HU/AU,service,—,,abgeschlossen,75%
894640,Skoda Superb Combi · XQB-B 30,Bremsen,service,—,,fertig,90%
837253,VW Passat Variant · QQH-YS 56,Inspektion,service,—,,storniert,95%
825751,BMW 3er Touring · QQ-KW 99,Bremsen,service,—,,abgeschlossen,85%
831722,VW Touran · ZQ-GN 8530,Hagelschaden,damage,"TAILGATE, ROOF, HOOD",mittel,fertig,92%
839007,Seat Ibiza · XQS-R 55,Parkschaden,damage,"BUMPER_FRONT_FULL, TAILGATE",schwer,fertig,92%
890104,Audi Q3 · ZQ-ET 113,Vandalismus,damage,"BUMPER_FRONT_RIGHT, DOOR_REAR_RIGHT",mittel,neu,87%
897638,VW T6.1 Transporter · QQE-W 18,Parkschaden,damage,"DOOR_REAR_LEFT, BUMPER_REAR_RIGHT",leicht,laufend,92%
854202,VW T6.1 Transporter · QX-AX 8236,Rangierschaden,damage,SILL_LEFT,mittel,abgeschlossen,85%
828534,Ford Transit Custom · QQZ-Y 4215,Bremsen,service,—,,fertig,95%
883029,BMW 1er · QQA-D 76,Auffahrunfall,damage,"TAILGATE, BUMPER_FRONT_FULL, BUMPER_REAR_FULL",schwer,neu,90%
883550,Opel Grandland · ZQM-VY 1378,Räder und Reifen,service,—,,laufend,90%
866893,BMW X3 · XQB-UL 700,Inspektion,service,—,,abgeschlossen,90%
869622,Mercedes E-Klasse · QQV-P 841,HU/AU,service,—,,abgeschlossen,90%
837847,Audi A3 Sportback · QQW-UA 70,Räder und Reifen,service,—,,laufend,95%
848599,BMW X1 · XQB-Z 38,Inspektion,service,—,,neu,95%
886803,Mercedes E-Klasse · QX-DD 41,Auffahrunfall,damage,"BUMPER_FRONT_RIGHT, BUMPER_REAR_FULL",leicht,fertig,87%
849735,Audi A4 Avant · XQ-L 29,Inspektion,service,—,,abgeschlossen,95%
